Saywun,Saywun,15.94299196,48.78734737,68747,Yemen,YE,YEM,Hadramawt
Sadah,Sadah,16.93977867,43.84976762,105542,Yemen,YE,YEM,Sa`dah
Al Hudaydah,Al Hudaydah,14.79794558,42.95297481,627610.5,Yemen,YE,YEM,Al Hudaydah
Sayhut,Sayhut,15.21050437,51.24544023,189,Yemen,YE,YEM,Al Mahrah
Al Mukalla,Al Mukalla,14.54116538,49.12593135,194080.5,Yemen,YE,YEM,Hadramawt
Taizz,Taizz,13.60445253,44.03942012,683111,Yemen,YE,YEM,Ta`izz
Aden,Aden,12.77972251,45.00949011,775301,Yemen,YE,YEM,`Adan
Sanaa,Sanaa,15.3547333,44.20659338,1921926.5,Yemen,YE,YEM,Amanat Al Asimah
Kawambwa,Kawambwa,-9.779520651,29.08002315,20355,Zambia,ZM,ZMB,Luapula
Nchelenge,Nchelenge,-9.349572735,28.73001868,15904,Zambia,ZM,ZMB,Luapula
Chinsali,Chinsali,-10.54960285,32.0599963,7482.5,Zambia,ZM,ZMB,Northern
Kasama,Kasama,-10.19959837,31.17994665,156500,Zambia,ZM,ZMB,Northern
Kapiri Mposhi,Kapiri Mposhi,-13.96960081,28.65999711,30078,Zambia,ZM,ZMB,Central
Mumbwa,Mumbwa,-14.97961668,27.07001664,14408.5,Zambia,ZM,ZMB,Central
Chingola,Chingola,-12.53961058,27.85002071,165289.5,Zambia,ZM,ZMB,Copperbelt
Chililabombwe,Chililabombwe,-12.36959511,27.8199967,69698,Zambia,ZM,ZMB,Copperbelt
Nyimba,Nyimba,-14.54951373,30.80999508,814,Zambia,ZM,ZMB,Eastern
Lundazi,Lundazi,-12.28954832,33.17000606,9540.5,Zambia,ZM,ZMB,Eastern
Chipata,Chipata,-13.62956989,32.64001257,82455,Zambia,ZM,ZMB,Eastern
Mwinilunga,Mwinilunga,-11.73955605,24.4399963,8336.5,Zambia,ZM,ZMB,North-Western
Kasempa,Kasempa,-13.4596061,25.82001542,5622,Zambia,ZM,ZMB,North-Western
Solwezi,Solwezi,-12.17958087,26.39998002,51793.5,Zambia,ZM,ZMB,North-Western
Choma,Choma,-16.80947915,26.97002274,42324,Zambia,ZM,ZMB,Southern
Mongu,Mongu,-15.27959837,23.12002519,45098.5,Zambia,ZM,ZMB,Western
Kaoma,Kaoma,-14.77962889,24.79997432,7259,Zambia,ZM,ZMB,Western
Sesheke,Sesheke,-17.46954222,24.30000484,10177.5,Zambia,ZM,ZMB,Western
Lukulu,Lukulu,-14.38957518,23.24001786,3349,Zambia,ZM,ZMB,Western
Kalabo,Kalabo,-14.98959023,22.68000036,7731,Zambia,ZM,ZMB,Western
Senanga,Senanga,-16.11959878,23.27004187,10005,Zambia,ZM,ZMB,Western
Mansa,Mansa,-11.20000242,28.89000891,31357,Zambia,ZM,ZMB,Luapula
Mpika,Mpika,-11.83004148,31.45998124,17242.5,Zambia,ZM,ZMB,Northern
Mbala,Mbala,-8.840043112,31.37001257,18384,Zambia,ZM,ZMB,Northern
Luanshya,Luanshya,-13.13332111,28.40001298,132679,Zambia,ZM,ZMB,Copperbelt
Ndola,Ndola,-12.99994424,28.65002356,395428.5,Zambia,ZM,ZMB,Copperbelt
Zambezi,Zambezi,-13.54001463,23.10994828,4987.5,Zambia,ZM,ZMB,North-Western
Kafue,Kafue,-15.78003294,28.18002641,25725.5,Zambia,ZM,ZMB,Southern
Mazabuka,Mazabuka,-15.86002806,27.76000036,57874.5,Zambia,ZM,ZMB,Southern
Kabwe,Kabwe,-14.44001137,28.44998409,188667,Zambia,ZM,ZMB,Central
Mufulira,Mufulira,-12.54999754,28.25996985,137062,Zambia,ZM,ZMB,Copperbelt
Kitwe,Kitwe,-12.81003335,28.22002397,402907.5,Zambia,ZM,ZMB,Copperbelt
Livingstone,Livingstone,-17.86000934,25.86001298,137341.5,Zambia,ZM,ZMB,Southern
Lusaka,Lusaka,-15.41664427,28.28332759,1297720,Zambia,ZM,ZMB,Lusaka
Mazowe,Mazowe,-17.51961668,30.97003699,9966,Zimbabwe,ZW,ZWE,Mashonaland Central
Shamva,Shamva,-17.31962889,31.57000036,8521,Zimbabwe,ZW,ZWE,Mashonaland Central
Victoria Falls,Victoria Falls,-17.92961749,25.8400142,23964.5,Zimbabwe,ZW,ZWE,Matabeleland North
Zvishavane,Zvishavane,-20.32957436,30.04998979,34557.5,Zimbabwe,ZW,ZWE,Midlands
Kwekwe,Kwekwe,-18.92960814,29.79997921,80788,Zimbabwe,ZW,ZWE,Midlands
Plumtree,Plumtree,-20.47953937,27.8199967,1959.5,Zimbabwe,ZW,ZWE,Matabeleland South
